"timestamp","session_id","animal_name","rating"
2025-09-10 13:43:15.715594,"session_20250910_134307_5730","African Penguin","Literally in love"
2025-09-10 13:43:30.084681,"session_20250910_134307_5730","African Penguin","Literally in love"
2025-09-10 13:43:30.087961,"session_20250910_134307_5730","African Penguin","Not my type"
